ASB (count),,,,,,
RegionCode,Region,Time Period,ASB (count) - Environmental,ASB (count) - Nuisance,ASB (count) - Personal,ASB (count) - All ASB
E07000066,Basildon,Apr-11,223,376,112,711
E07000067,Braintree,Apr-11,76,305,68,449
E07000068,Brentwood,Apr-11,33,156,26,215
E07000069,Castle Point,Apr-11,42,178,43,263
E07000070,Chelmsford,Apr-11,54,362,59,475
E07000071,Colchester,Apr-11,78,453,124,655
E07000072,Epping Forest,Apr-11,39,285,41,365
E07000073,Harlow,Apr-11,31,300,48,379
E07000074,Maldon,Apr-11,15,106,24,145
E07000075,Rochford,Apr-11,21,135,25,181
E06000033,Southend-on-Sea,Apr-11,141,632,174,947
E07000076,Tendring,Apr-11,52,413,115,580
E06000034,Thurrock,Apr-11,186,319,76,581
E07000077,Uttlesford,Apr-11,21,88,25,134
E05004226,Alresford,Apr-11,,4,3,7
E05004190,Althorne,Apr-11,,5,,5
E05004227,Alton Park,Apr-11,8,20,4,32
E05004082,Appleton,Apr-11,1,4,2,7
E05004228,Ardleigh and Little Bromley,Apr-11,1,2,,3
E05004207,Ashingdon and Canewdon,Apr-11,1,8,1,10
E05002229,Aveley and Uplands,Apr-11,9,17,6,32
E05004208,Barling and Sutton,Apr-11,,2,,2
E05004229,Beaumont and Thorpe,Apr-11,,8,,8
E05002212,Belfairs,Apr-11,4,8,4,16
E05002230,Belhus,Apr-11,11,18,6,35
E05004120,Berechurch,Apr-11,6,26,4,36
E05004096,Bicknacre and East and West Hanningfield,Apr-11,1,6,1,8
E05004021,Billericay East,Apr-11,9,20,7,36
E05004022,Billericay West,Apr-11,11,6,1,18
E05004121,Birch and Winstree,Apr-11,2,7,1,10
E05004263,Birchanger,Apr-11,,1,1,2
E05004037,Black Notley and Terling,Apr-11,3,15,,18
E05002213,Blenheim Park,Apr-11,3,14,7,24
E05004038,Bocking Blackwater,Apr-11,3,12,4,19
E05004039,Bocking North,Apr-11,2,7,3,12
E05004040,Bocking South,Apr-11,8,25,3,36
E05004230,Bockings Elm,Apr-11,1,10,3,14
E05004097,Boreham and The Leighs,Apr-11,2,7,1,10
E05004083,Boyce,Apr-11,2,6,1,9
E05004231,"Bradfield, Wrabness and Wix",Apr-11,,2,,2
E05004041,"Bradwell, Silver End and Rivenhall",Apr-11,2,4,2,8
E05004042,Braintree Central,Apr-11,5,31,4,40
E05004043,Braintree East,Apr-11,4,29,7,40
E05004044,Braintree South,Apr-11,,8,4,12
E05004067,Brentwood North,Apr-11,6,21,4,31
E05004068,Brentwood South,Apr-11,3,25,3,31
E05004069,Brentwood West,Apr-11,1,19,3,23
E05004232,Brightlingsea,Apr-11,2,14,7,23
E05004070,Brizes and Doddinghurst,Apr-11,2,14,,16
E05004264,Broad Oak and the Hallingburys,Apr-11,,4,1,5
E05004147,"Broadley Common, Epping Upland and Nazeing",Apr-11,1,1,1,3
E05004098,Broomfield and The Walthams,Apr-11,4,15,3,22
E05004148,Buckhurst Hill East,Apr-11,,11,,11
E05004149,Buckhurst Hill West,Apr-11,1,9,1,11
E05004045,Bumpstead,Apr-11,,1,1,2
E05004191,Burnham-on-Crouch North,Apr-11,3,7,8,18
E05004192,Burnham-on-Crouch South,Apr-11,,4,3,7
E05004233,Burrsville,Apr-11,,1,2,3
E05004023,Burstead,Apr-11,8,11,3,22
E05004179,Bush Fair,Apr-11,2,30,4,36
E05004084,Canvey Island Central,Apr-11,7,30,8,45
E05004085,Canvey Island East,Apr-11,2,17,3,22
E05004086,Canvey Island North,Apr-11,2,13,2,17
E05004087,Canvey Island South,Apr-11,1,14,2,17
E05004088,Canvey Island West,Apr-11,6,16,7,29
